12765,ROBYN,GILL,1954-05-20,M,NA,robyn11@adventure-works.com,"$20,000 ",Partial High School,Manual
16463,ANNA,MURPHY,1975-10-22,S,NA,anna10@adventure-works.com,"$20,000 ",Partial High School,Manual
19176,EBONY,VAZQUEZ,1972-06-02,S,NA,ebony36@adventure-works.com,"$20,000 ",Partial High School,Manual
19179,GLORIA,SANZ,1972-05-23,S,NA,gloria20@adventure-works.com,"$20,000 ",Partial High School,Manual
21796,EMMA,WARD,1950-04-10,M,NA,emma39@adventure-works.com,"$40,000 ",Partial High School,Skilled Manual
23725,DENNIS,WARE,1950-10-04,M,NA,dennis0@adventure-works.com,"$40,000 ",Partial High School,Skilled Manual
11025,ALEJANDRO,BECK,1945-12-23,M,NA,alejandro45@adventure-works.com,"$10,000 ",Partial High School,Clerical
11035,WENDY,DOMINGUEZ,1948-02-24,M,NA,wendy12@adventure-works.com,"$10,000 ",Partial High School,Clerical
17375,SHEILA,GILL,1947-06-24,M,NA,sheila13@adventure-works.com,"$10,000 ",Partial High School,Clerical
22022,CHRISTOPHER,DAVIS,1977-11-04,S,NA,christopher5@adventure-works.com,"$30,000 ",Partial High School,Clerical
26184,LOUIS,LAL,1977-03-02,S,NA,louis26@adventure-works.com,"$30,000 ",Partial High School,Clerical
26564,FRANKLIN,CHEN,1954-09-26,S,NA,franklin2@adventure-works.com,"$40,000 ",Partial High School,Clerical
28117,CRAIG,VAZQUEZ,1954-08-15,S,NA,craig14@adventure-works.com,"$40,000 ",Partial High School,Clerical
23662,CYNTHIA,SANCHEZ,1970-11-06,S,NA,cynthia26@adventure-works.com,"$100,000 ",Partial High School,Professional
27944,DALTON,BELL,1954-12-10,S,NA,dalton85@adventure-works.com,"$120,000 ",Partial High School,Professional
11475,CESAR,SUBRAM,1978-10-09,S,NA,cesar12@adventure-works.com,"$30,000 ",High School,Manual
13570,BENJAMIN,JACKSON,1968-06-25,S,NA,benjamin48@adventure-works.com,"$10,000 ",High School,Manual
13790,NINA,DENG,1965-06-19,S,NA,nina1@adventure-works.com,"$20,000 ",High School,Manual
26819,DEVIN,MITCHELL,1967-02-21,M,NA,devin34@adventure-works.com,"$10,000 ",High School,Manual
26850,TERRY,LUO,1963-06-19,S,NA,terry9@adventure-works.com,"$20,000 ",High School,Manual
27868,JESSIE,RUBIO,1976-09-13,S,NA,jessie40@adventure-works.com,"$10,000 ",High School,Manual
16626,NATHANIEL,MORGAN,1972-07-18,S,NA,nathaniel14@adventure-works.com,"$100,000 ",High School,Management
11965,KATIE,SHE,1956-10-19,S,NA,katie3@adventure-works.com,"$70,000 ",High School,Skilled Manual
20448,JÉSUS,BLANCO,1956-02-22,M,NA,jésus14@adventure-works.com,"$80,000 ",High School,Skilled Manual
27282,BARRY,PEREZ,1967-09-14,M,NA,barry20@adventure-works.com,"$40,000 ",High School,Skilled Manual
28345,DIANA,SERRANO,1977-12-24,M,NA,diana15@adventure-works.com,"$40,000 ",High School,Skilled Manual
27030,JAN,GRAY,1955-05-20,S,NA,jan5@adventure-works.com,"$30,000 ",High School,Clerical
20505,ALEXA,COX,1945-05-10,M,NA,alexa8@adventure-works.com,"$40,000 ",High School,Professional
24618,BRETT,GONZALEZ,1948-12-11,M,NA,brett18@adventure-works.com,"$30,000 ",High School,Professional
24958,TAMARA,XU,1946-06-04,S,NA,tamara16@adventure-works.com,"$40,000 ",High School,Professional
26394,MARTHA,SUN,1945-08-05,M,NA,martha13@adventure-works.com,"$70,000 ",High School,Professional
